"specialdelivery9am","Special Delivery: Guaranteed by 9am"
"specialdelivery1pm","Special Delivery: Guaranteed by 1pm"
"specialdelivery1pmsaturday","Special Delivery: Guaranteed by 1pm Saturday"
"specialdelivery9amsaturday","Special Delivery: Guaranteed by 9am Saturday"
"firstclasslettersignedfor","Signed For: First Class Letter"
"firstclasslargelettersignedfor","Signed For: First Class Large Letter"
"firstclasssignedforsmall","Signed For: First Class Small Parcel"
"firstclasssignedformedium","Signed For: First Class Medium Parcel"
"secondclasslettersignedfor","Signed For: Second Class Letter"
"secondclasslargelettersignedfor","Signed For: Second Class Large Letter"
"secondclasssmallparcelsignedfor","Signed For: Second Class Small Parcel"
"secondclassmediumparcelsignedfor","Signed For: Second Class Medium Parcel"

"largelettertracked24","Tracked 24: Large Letter"
"smallparceltracked24","Tracked 24: Small Parcel"
"mediumparceltracked24","Tracked 24: Medium Parcel"
"largelettertracked48","Tracked 48: Large Letter"
"smallparceltracked48","Tracked 48: Small Parcel"
"mediumparceltracked48","Tracked 48: Medium Parcel"
"largelettertracked24withsignature","Tracked 24 With Signature: Large Letter"
"smallparceltracked24withsignature","Tracked 24 With Signature: Small Parcel"
"mediumparceltracked24withsignature","Tracked 24 With Signature: Medium Parcel"
"largelettertracked48withsignature","Tracked 48 With Signature: Large Letter"
"smallparceltracked48withsignature","Tracked 48 With Signature: Small Parcel"
"mediumparceltracked48withsignature","Tracked 48 With Signature: Medium Parcel"

"letter","Standard First Class Letter"
"largeletter","Standard First Class Large Letter"
"firstclasssmall","Standard First Class Small Parcel"
"firstclassmedium","Standard First Class Medium Parcel"
"secondclassletter","Second Class Letter"
"secondclasslargeletter","Second Class Large Letter"
"secondclasssmallparcel","Second Class Small Parcel"
"secondclassmediumparcel","Second Class Medium Parcel"
"internationalstandardletter","International Standard Letter"
"internationalstandardlargeletter","International Standard Large Letter"
"internationalstandardsmallparcel","International Standard Small Parcel"
"internationallettertrackedsigned","International Tracked and Signed Letter"
"internationallargelettertrackedandsigned","International Tracked and Signed Large Letter"
"internationalsmallparceltrackedsigned","International Tracked and Signed Small Parcel"
"internationaltrackedletter","International Tracked Letter"
"internationaltrackedlargeletter","International Tracked Large Letter"
"internationaltrackedsmallparcel","International Tracked Small Parcel"
"internationallettersigned","International Signed Letter"
"internationalsignedlargeletter","International Signed Large Letter"
"internationalsignedsmallparcel","International Signed Small Parcel"
"internationaleconomyletter","International Economy Letter"
"internationaleconomylargeletter","International Economy Large Letter"
"internationaleconomysmallparcel","International Economy Small Parcel"
"parcelforceworldwideexpress9","Parcelforce Worldwide: Express 9"
"parcelforceworldwideexpress10","Parcelforce Worldwide: Express 10"
"parcelforceworldwideexpressAM","Parcelforce Worldwide: Express AM"
"parcelforceworldwideexpress24","Parcelforce Worldwide: Express 24"
"parcelforceworldwideexpress48","Parcelforce Worldwide: Express 48"
"parcelforceworldwideexpress48large","Parcelforce Worldwide: Express 48 Large"
"parcelforceworldwideexpress9saturday","Parcelforce Worldwide: Express 9 Saturday"
"parcelforceworldwideexpress10saturday","Parcelforce Worldwide: Express 10 Saturday"
"parcelforceworldwideexpressAMsaturday","Parcelforce Worldwide: Express AM Saturday"
"parcelforceworldwideexpress24saturday","Parcelforce Worldwide: Express 24 Saturday"
"parcelforceworldwideexpress48saturday","Parcelforce Worldwide: Express 48 Saturday"
"parcelforceworldwideglobalvalue","Parcelforce Worldwide: Global Value"
"parcelforceworldwideglobalpriority","Parcelforce Worldwide: Global Priority"
"parcelforceworldwideglobalexpress","Parcelforce Worldwide: Global Express"
"parcelforceworldwideeuroprioritybusiness", "Parcelforce Worldwide: Euro Priority Business"
"parcelforceworldwideeuropriorityhome", "Parcelforce Worldwide: Euro Priority Home"
"printedpaperworldwidesigned", "International Signed Printed Papers"
"printedpaperworldwidestandard", "International Standard Printed Papers"
"printedpaperworldwidetracked", "International Tracked Printed Papers"
"printedpaperworldwidetrackedandsigned", "International Tracked & Signed Printed Papers"
"internationalsignedtrackedheavier", "International Tracked & Signed Heavier"
